id,name,category,cuisine,description,price,discount_percent,discounted_price,calories,prep_time_minutes,spice_level,dietary_tag,rating,review_count,is_available,is_featured,is_new,image_url,created_at
1,Spring Rolls,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Spring Rolls is a customer favorite.",5.46,0,5.46,492,19,Medium,Vegan,4.9,501,Available,No,No,https://images.restaurant.com/food/appetizer/0001.jpg,2023-07-01
2,Spring Rolls - Variant 2,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Spring Rolls - Variant 2 is a customer favorite.",5.39,0,5.39,1003,37,Extra Hot,Dairy-Free,4.0,329,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0002.jpg,2024-01-28
3,Spring Rolls - Variant 3,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Spring Rolls - Variant 3 is a customer favorite.",5.9,10,5.31,1032,14,Medium,Spicy,4.8,133,Available,Yes,Yes,https://images.restaurant.com/food/appetizer/0003.jpg,2023-05-06
4,Spring Rolls - Variant 4,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Spring Rolls - Variant 4 is a customer favorite.",4.51,10,4.06,345,15,Mild,None,4.5,802,Available,No,No,https://images.restaurant.com/food/appetizer/0004.jpg,2023-02-24
5,Chicken Wings,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Wings is a customer favorite.",12.33,0,12.33,883,25,Mild,Vegetarian,4.4,278,Available,No,Yes,https://images.restaurant.com/food/appetizer/0005.jpg,2024-02-19
6,Chicken Wings - Variant 2,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Wings - Variant 2 is a customer favorite.",10.9,0,10.9,709,22,Hot,None,3.5,75,Available,No,No,https://images.restaurant.com/food/appetizer/0006.jpg,2023-07-28
7,Chicken Wings - Variant 3,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Wings - Variant 3 is a customer favorite.",11.33,5,10.76,943,17,None,Halal,4.6,540,Sold Out,No,Yes,https://images.restaurant.com/food/appetizer/0007.jpg,2024-07-25
8,Chicken Wings - Variant 4,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Wings - Variant 4 is a customer favorite.",9.67,0,9.67,307,45,None,Gluten-Free,3.9,103,Available,Yes,No,https://images.restaurant.com/food/appetizer/0008.jpg,2023-11-29
9,Chicken Wings - Variant 5,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Wings - Variant 5 is a customer favorite.",9.84,0,9.84,203,44,None,Vegetarian,4.7,598,Available,No,No,https://images.restaurant.com/food/appetizer/0009.jpg,2024-06-07
10,Bruschetta,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Bruschetta is a customer favorite.",7.92,0,7.92,361,14,Mild,Gluten-Free,4.8,832,Available,No,Yes,https://images.restaurant.com/food/appetizer/0010.jpg,2024-04-19
11,Bruschetta - Variant 2,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Bruschetta - Variant 2 is a customer favorite.",7.78,10,7.0,1035,30,Extra Hot,Vegan,3.5,365,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0011.jpg,2023-04-28
12,Bruschetta - Variant 3,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Bruschetta - Variant 3 is a customer favorite.",6.21,0,6.21,560,38,None,None,3.9,253,Available,No,No,https://images.restaurant.com/food/appetizer/0012.jpg,2023-04-01
13,Bruschetta - Variant 4,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Bruschetta - Variant 4 is a customer favorite.",7.1,0,7.1,208,10,Mild,Halal,3.9,446,Available,No,Yes,https://images.restaurant.com/food/appetizer/0013.jpg,2023-10-08
14,Garlic Bread,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Garlic Bread is a customer favorite.",4.84,10,4.36,531,17,Mild,None,4.4,167,Available,No,No,https://images.restaurant.com/food/appetizer/0014.jpg,2024-10-02
15,Garlic Bread - Variant 2,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Garlic Bread - Variant 2 is a customer favorite.",4.82,5,4.58,483,34,Hot,Keto,4.5,729,Available,No,Yes,https://images.restaurant.com/food/appetizer/0015.jpg,2023-03-04
16,Garlic Bread - Variant 3,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Garlic Bread - Variant 3 is a customer favorite.",4.07,0,4.07,680,14,Medium,Spicy,3.8,644,Available,No,Yes,https://images.restaurant.com/food/appetizer/0016.jpg,2023-08-18
